05E | 000000014001037C | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: F0-> FFFFFFF9                                | 00000001400114CB: FFFFFFE7FFFFFFF9-> FFFFFFE7FFFF |
05F | 000000014001037F | 49:83C2 04               | add r10,4                               | r10: 1400114CB-> 1400114CF rflags: 286-> 206      |                                                   |
060 | 0000000140010383 | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFF9-> 789C9956                          |                                                   |
061 | 0000000140010386 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C9956-> FFFFFFF5 rflags: 206-> 286        |                                                   |
062 | 0000000140010389 | F7D1                     | not ecx                                 | rcx: FFFFFFF5-> A                                 |                                                   |
063 | 000000014001038B | 41:01C9                  | add r9d,ecx                             | r9: 876366A3-> 876366AD rflags: 286-> 282         |                                                   |
064 | 000000014001038E | 83F9 10                  | cmp ecx,10                              | rflags: 282-> 287                                 |                                                   |
065 | 0000000140010391 | 75 17                    | jne consoleapplication1_protected - 副本. |                                                   |                                                   |
066 | 00000001400103AA | C1E1 03                  | shl ecx,3                               | rcx: A-> 50 rflags: 287-> 206                     |                                                   |
067 | 00000001400103AD | 49:BB 270C014001000000   | mov r11,consoleapplication1_protected - | r11: 140010C97-> 140010C27                        |                                                   | r11:"愾S"
068 | 00000001400103B7 | 49:01CB                  | add r11,rcx                             | r11: 140010C27-> 140010C77                        |                                                   | r11:"愾S"
069 | 00000001400103BA | 49:8B0B                  | mov rcx,qword ptr ds:[r11]              | rcx: 50-> 15FE10                                  | 0000000140010C77: 15FE10-> 15FE10                 | r11:"愾S"
06A | 00000001400103BD | 49:83EF 08               | sub r15,8                               | r15: 15FC88-> 15FC80 rflags: 206-> 202            |                                                   |
06B | 00000001400103C1 | 49:890F                  | mov qword ptr ds:[r15],rcx              |                                                   | 000000000015FC80: 6C6C654800000000-> 15FE10       |
06C | 00000001400103C4 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 15FE10-> FFFFFFE7                            | 00000001400114CF: FFFFFFDFFFFFFFE7-> FFFFFFDFFFFF |
06D | 00000001400103C7 | 49:83C2 04               | add r10,4                               | r10: 1400114CF-> 1400114D3 rflags: 202-> 212      |                                                   |
06E | 00000001400103CB | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFE7-> 789C993A rflags: 212-> 216        |                                                   |
06F | 00000001400103CE | 44:31C9                  | xor ecx,r9d                             | rcx: 789C993A-> FFFFFF97 rflags: 216-> 282        |                                                   |
070 | 00000001400103D1 | F7D1                     | not ecx                                 | rcx: FFFFFF97-> 68                                |                                                   |
071 | 00000001400103D3 | 41:01C9                  | add r9d,ecx                             | r9: 876366AD-> 87636715 rflags: 282-> 292         |                                                   |
072 | 00000001400103D6 | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 0000000140010FEF: 140010306-> 140010306           |
073 | 0000000140010306 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 68-> FFFFFFDF                                | 00000001400114D3: FFFFFFD6FFFFFFDF-> FFFFFFD6FFFF |
